ghidra_address,raw_address,generated_name,body_bytes,source_kind,original_name,status
0x3a57a4,0x2a57a4,recovered_fn_002a57a4,52,c_decompiled,FUN_003a57a4,ok
0x3a57d8,0x2a57d8,recovered_fn_002a57d8,24,c_decompiled,FUN_003a57d8,ok
0x3a57f0,0x2a57f0,recovered_fn_002a57f0,4,c_decompiled,FUN_003a57f0,ok
0x3a57f4,0x2a57f4,recovered_fn_002a57f4,4,c_decompiled,free,ok
0x3a57f8,0x2a57f8,recovered_fn_002a57f8,12,c_decompiled,FUN_003a57f8,ok
0x3a5804,0x2a5804,recovered_fn_002a5804,228,c_decompiled,FUN_003a5804,ok
0x3a58e8,0x2a58e8,recovered_fn_002a58e8,484,c_decompiled,FUN_003a58e8,ok
0x3a5acc,0x2a5acc,recovered_fn_002a5acc,456,c_decompiled,FUN_003a5acc,ok
0x3a5c94,0x2a5c94,recovered_fn_002a5c94,596,c_decompiled,FUN_003a5c94,ok
0x3a5ee8,0x2a5ee8,recovered_fn_002a5ee8,384,c_decompiled,FUN_003a5ee8,ok
0x3a6068,0x2a6068,recovered_fn_002a6068,364,c_decompiled,FUN_003a6068,ok
0x3a61d4,0x2a61d4,recovered_fn_002a61d4,484,c_decompiled,FUN_003a61d4,ok
0x3a63b8,0x2a63b8,recovered_fn_002a63b8,228,c_decompiled,FUN_003a63b8,ok
0x3a649c,0x2a649c,recovered_fn_002a649c,516,c_decompiled,FUN_003a649c,ok
0x3a66a0,0x2a66a0,recovered_fn_002a66a0,976,c_decompiled,FUN_003a66a0,ok
0x3a6a70,0x2a6a70,recovered_fn_002a6a70,408,c_decompiled,FUN_003a6a70,ok
0x3a6c08,0x2a6c08,recovered_fn_002a6c08,2096,c_decompiled,FUN_003a6c08,ok
0x3a7438,0x2a7438,recovered_fn_002a7438,1796,c_decompiled,FUN_003a7438,ok
0x3a7b3c,0x2a7b3c,recovered_fn_002a7b3c,560,c_decompiled,FUN_003a7b3c,ok
0x3a7d6c,0x2a7d6c,recovered_fn_002a7d6c,392,c_decompiled,FUN_003a7d6c,ok
0x3a7ef4,0x2a7ef4,recovered_fn_002a7ef4,4,c_decompiled,FUN_003a7ef4,ok
0x3a7ef8,0x2a7ef8,recovered_fn_002a7ef8,4,c_decompiled,FUN_003a7ef8,ok
0x3a7efc,0x2a7efc,recovered_fn_002a7efc,4,c_decompiled,free,ok
0x3a7f00,0x2a7f00,recovered_fn_002a7f00,64,c_decompiled,FUN_003a7f00,ok
0x3a7f40,0x2a7f40,recovered_fn_002a7f40,32,c_decompiled,FUN_003a7f40,ok
0x3a7f60,0x2a7f60,recovered_fn_002a7f60,4,c_decompiled,FUN_003a7f60,ok
0x3a7f64,0x2a7f64,recovered_fn_002a7f64,4,c_decompiled,free,ok
